Source,Family,Latitude,Longitude,Elevation,UTMx,UTMy
AK,AK3,44.82509,-123.11264,63.11733514,491095.2761,4963526.586
AK,AK6,44.82509,-123.11264,63.11733514,491095.2761,4963526.586
AK,AK9,44.82509,-123.11264,63.11733514,491095.2761,4963526.586
BA,BA2,43.01656,-124.41927,44.78673079,384347.874,4763631.064
BA,BA3,43.01245,-124.41483,48.72416813,384701.9915,4763168.538
BA,BA5,43.02481,-124.41467,41.10325267,384738.1563,4764540.91
BC,BC3,49.19098333,-124.0031,126.5258218,426912.2054,5449171.119
BC,BC6,49.18963333,-124.0023833,116.3789726,426962.4373,5449020.352
BC,BC8,49.18886667,-124.0046333,112.3369765,426797.3648,5448937.299
BK,BK2,42.20829,-124.33443,518.9009265,389845.8296,4673764.72
BK,BK3,42.23008,-124.31038,227.7337184,391868.3267,4676153.404
BK,BK5,42.20508,-124.32919,513.8684462,390272.8315,4673401.538
BL,BL1,39.15803333,-122.9935333,416,500558.7151,4334313.97
BL,BL2,39.17108333,-123.0087833,430.0671602,499241.2736,4335762.2
BL,BL3,39.17141667,-123.0092167,434.8810332,499203.8391,4335799.196
BR,BR3,47.55821667,-122.67115,43.14325954,524739.4182,5267252.134
BR,BR7,47.55825,-122.6729,34.3480449,524607.75,5267255.282
CA,CA3,38.60876667,-122.6124,148.3089704,533747.0669,4273433.687
CA,CA4,38.60875,-122.6125667,150.7917498,533732.5606,4273431.776
CB,CB1,48.6494,-122.4907833,45.44707948,537506.0493,5388607.55
CC,CC2,38.00543333,-122.4754333,33.74822338,546052.3136,4206547.667
CC,CC4,38.00583333,-122.4751333,25,546078.4008,4206592.197
CC,CC7,38.00611667,-122.4754333,18.52828442,546051.8862,4206623.486
CL,CL1,47.9799,-122.3567,40.05927181,548005.8213,5314266.413
CP,CP24,42.3353,-123.53848,745.5141535,455639.1856,4687145.683
CP,CP26,42.18767,-122.97697,701.6523575,501901.6754,4670613.608
CP,CP9,42.26343,-122.98724,822.2123631,501052.3831,4679025.308
CR,CR2,46.063611,-122.8625,110.0216562,510634.7354,5101124.339
CR,CR3,46.063611,-122.8625,110.0216562,510634.7354,5101124.339
CR,CR4,46.063611,-122.8625,110.0216562,510634.7354,5101124.339
CY,CY6,42.91553333,-123.2688833,263.0344303,478053.7627,4751470.05
DE,DE1,44.69475,-121.9947833,787.089348,579646.0394,4949533.324
DE,DE4,44.69503333,-121.9944833,805,579669.4207,4949565.09
DE,DE5,44.6945,-121.9952,771.8925058,579613.3656,4949505.146
DE,DE6,44.6938,-121.9951833,754.8524513,579615.648,4949427.406
FB,FB3,48.47916667,-122.5924,8.517082382,530122.4721,5369640.062
FB,FB9,48.49481667,-122.606,13.37921791,529108.4486,5371374.374
FW,FW10,47.30041667,-122.35455,107.1755782,548794.9001,5238751.196
FW,FW3,47.29986667,-122.3527,103.9649482,548935.264,5238691.233
GA,GA1,40.0901,-123.8132,163.3449122,430676.4093,4438074.342
GA,GA2,40.0891,-123.8257,255.6645866,429609.7678,4437973.164
GA,GA3,40.0905,-123.8258,277.8171474,429602.6851,4438128.634
GP,GP1,42.47683333,-123.3492333,441.0596907,471294.244,4702779.769
GP,GP2,42.47655,-123.3491167,432.5952513,471303.6987,4702748.269
HC,HC1,40.2918,-123.7601,404.8283781,435394.7979,4460422.117
HC,HC2,40.292,-123.7605,408.7916281,435360.9898,4460444.608
HP,HP1,39,-123.0666667,309,494227.2133,4316778.697
KLa,KL10,41.94295,-123.4958333,989.2019633,458899.5515,4643560.928
KLb,KL11,41.83333333,-123.1666667,441,486161.0987,4631285.11
KLb,KL12,41.53333333,-123.5166667,489,456899.6136,4598093.725
KLc,KL13,41.33333333,-123.1666667,1180,486053.9276,4575774.694
KLc,KL14,41.31666667,-123.5166667,307,456756.0953,4574039.765
KLa,KL6,41.94471667,-123.4904667,916.031443,459345.5214,4643754.519
KLa,KL7,41.9425,-123.4950833,988.6591217,458961.4318,4643510.606
KM,KM1,47.30826667,-122.6779333,76.083493,524344.11,5239471.884
KM,KM10,47.30675,-122.6778333,85.40433428,524352.3654,5239303.364
LA,LA10,37.307611,-122.173174,654.3028825,573270.9861,4129317.989
LA,LA13,37.341854,-122.177021,555.7551679,572896.9811,4133114.015
LA,LA5,37.22198,-122.145232,450,575832.9973,4119839.979
LA,LA8,37.295503,-122.163829,694.050928,574111.0102,4127981.987
LC,LC1,48.0735,-123.80045,606.9162552,440375.0976,5324779.379
LC,LC2,48.0582,-123.79925,188.427708,440446.836,5323077.917
OH,OH1,48.30341667,-122.6466833,23.90940699,526200.904,5350084.942
OK,OK1,43.67946667,-122.3489333,933.9884154,552478.9433,4836478.837
OL,OL1,47.05435,-122.8932833,10.75525348,508104.9673,5211209.382
OR,OR1,45.44143,-123.03951,184,496910.0113,5031990.34
PA,PA1,48.10106667,-123.4425333,105.0010194,467053.5684,5327628.168
PA,PA3,48.11241667,-123.44635,53.60249091,466776.7329,5328891.334
PA,PA4,48.10711667,-123.4479167,75.85669041,466656.6903,5328302.929
PF,PF1,46.83825,-122.30768,446.3859074,552792.5795,5187422.333
PF,PF2,46.83884,-122.30791,441.4071987,552774.4633,5187487.74
PF,PF4,46.84325,-122.31388,278.243519,552314.9488,5187973.798
PF,PF5,46.84235,-122.31428,275.7847416,552285.323,5187873.521
PL,PL1,38.74397,-120.74745,805.0578535,695764.2879,4290774.327
PL,PL11,38.74076,-120.71252,898.904047,698809.2355,4290493.383
PL,PL4,38.76192,-120.74256,776.7992153,696140.1569,4292776.985
PL,PL7,38.75437,-120.65384,990.946738,703871.1066,4292133.051
RA,RA2,42.19585,-124.22141,818,399155.7379,4672243.617
RA,RA8,42.19585,-124.22141,818,399155.7379,4672243.617
RV,RV3,39.2537,-123.1934667,274.6873016,483307.3629,4344948.392
RV,RV4,39.25353333,-123.1938167,273.5079409,483277.1247,4344929.96
RV,RV8,39.25345,-123.1935,277.2550454,483304.4304,4344920.654
SA,SA5,37.01937,-122.07581,346.3402625,582210.9177,4097420.376
SA,SA7,37.02232,-122.084,363.5983954,581479.212,4097740.597
SA,SA8,37.01861,-122.07883,362.0519038,581943.0847,4097333.458
SC,SC4,37.21705,-122.0698667,875.173197,582524.7524,4119356.043
SN,SN1,39.39353,-121.08437,462.7435315,664961.0273,4362198.998
SN,SN2,39.40079,-121.10321,551,663321.6003,4362970.519
SN,SN3,39.29279,-121.09569,447.3377691,664221.8366,4350997.255
SN,SN4,39.32274,-121.1035,557.7090392,663478.5494,4354307.225
SR,SR2,38.01201667,-122.5147833,11.48450529,542593.9017,4207259.365
SR,SR3,38.0135,-122.5019167,10.06039235,543722.4995,4207429.914
VE,VE10,44.03646,-123.36948,222.9986262,470395.4087,4875988.738
VE,VE5,44.03646,-123.36948,222.9986262,470395.4087,4875988.738
VE,VE7,44.03646,-123.36948,222.9986262,470395.4087,4875988.738
VI,VI3,48.53861667,-123.3901333,79.15110082,471202.0554,5376241.524
VI,VI4,48.50686667,-123.3848833,95.20123184,471571.8246,5372710.366
VI,VI5,48.48685,-123.3873667,36.19343555,471377.1307,5370486.335
WL,WL3,45.35004,-122.76506,113.7036228,518403.7719,5021863.447
WL,WL8,45.35004,-122.76506,113.7036228,518403.7719,5021863.447
WV,WV2,45.36327,-122.75967,87.36788385,518821.6053,5023334.471
WV,WV6,45.36319,-122.75963,87.50499656,518824.7644,5023325.592
ZE,ZE1,45.01889,-123.15399,130.4771459,487867.2211,4985060.376
ZE,ZE4,45.01889,-123.15399,130.4771459,487867.2211,4985060.376
ZE,ZE6,45.01889,-123.15399,130.4771459,487867.2211,4985060.376
