"","Group","Dep","Indep","MAE1","MAE2","MAE3","MAE4","MAE5"
"1","PuyallupValley","PercDead","Ecoregion","0.213402039058288","0.199802470989515","0.180578178103442","0.202690399635057","0.16816751672842"
"2","PuyallupValley","PercDead","Ecoregion_Dist","0.214080860576425","0.201433367099395","0.181261959661752","0.202387259307574","0.168855437456143"
"3","PuyallupValley","PercDead","Ecoregion_Slope","0.213557811270346","0.199691860025935","0.180696045277789","0.202696161356031","0.168157803527106"
"4","PuyallupValley","PercDead","Ecoregion_Aspect","0.212976576955665","0.200330909335412","0.180389402991458","0.203120666600117","0.168137576090326"
"5","PuyallupValley","PercDead","Ecoregion_ElevDist","0.213304664128576","0.200759366559721","0.180404697769966","0.203482493701015","0.169330120196048"
"6","PuyallupValley","PercDead","Ecoregion_eFFP","0.213504375336875","0.200128494333694","0.181091682213403","0.202872568638617","0.169116691805351"
"7","PuyallupValley","PercDead","Ecoregion_MSP","0.213953629387357","0.200093824531546","0.181284985780262","0.202790547013083","0.168984550639969"
"8","PuyallupValley","PercDead","Ecoregion_DD.5.sp","0.214161853701869","0.201744020074759","0.181171838969861","0.202682485450006","0.169363462631361"
"9","PuyallupValley","PercDead","Dist","0.218384205281887","0.196681923941929","0.180506248738006","0.206548958214938","0.163954429898817"
"10","PuyallupValley","PercDead","Aspect_ElevDist","0.217127182447483","0.196910863365097","0.17943108521606","0.207062637872616","0.160115565965037"
"11","PuyallupValley","PercDead","Aspect_ElevDist_eFFP","0.215567642579576","0.19515782702905","0.182621799205969","0.205240463834158","0.160832491127683"
"12","PuyallupValley","PercDead","Aspect_eFFP","0.216805714508702","0.195776169114208","0.183275169452051","0.204699898731865","0.162256111860718"
"13","PuyallupValley","PercDead","ElevDist","0.218710943420278","0.196472201036429","0.180659647616465","0.205654962327491","0.161610640886581"
"14","PuyallupHill","PercDead","Dist_Slope_ElevDist_DD.5.sp","0.158674726262237","0.159991003393082","0.173877241567129","0.168592184181252","0.163326891748811"
"15","PuyallupHill","PercDead","Dist_Slope_DD.5.sp","0.160427547121213","0.161449890137827","0.173897213080757","0.169414198026039","0.162606767214587"
"16","PuyallupHill","PercDead","Dist_Aspect_ElevDist_DD.5.sp","0.157730551678297","0.160261022103844","0.17394598058506","0.170572198768519","0.16385268929647"
"17","PuyallupHill","PercDead","Dist_Aspect_DD.5.sp","0.159078115964612","0.161270053222598","0.173759972452611","0.171011942634866","0.162853568600157"
"18","PuyallupHill","PercDead","Dist_ElevDist_eFFP_DD.5.sp","0.158487010183802","0.160050047444363","0.175295924512803","0.170073919210014","0.162344695178473"
"19","PuyallupHill","PercDead","Dist_ElevDist_MSP_DD.5.sp","0.158058040992189","0.160166423018297","0.174598117550073","0.169157639989643","0.164674126030344"
"20","PuyallupHill","PercDead","Dist_ElevDist_DD.5.sp","0.157608364450662","0.160032942877825","0.173887940163328","0.168752178184321","0.160616045403704"
"21","PuyallupHill","PercDead","Dist_eFFP_MSP_DD.5.sp","0.160435122003539","0.160633043798094","0.175437580911214","0.17035542724338","0.163412440310392"
"22","PuyallupHill","PercDead","Dist_eFFP_DD.5.sp","0.159891158519352","0.160813688958951","0.175338358401522","0.170579585451695","0.161723591788726"
"23","PuyallupHill","PercDead","Dist_MSP_DD.5.sp","0.159423269719095","0.161468669668605","0.174760654533224","0.170092467706597","0.164068138637042"
"24","PuyallupHill","PercDead","Dist_DD.5.sp","0.159379454950009","0.161210825826065","0.173507593132514","0.169233619045653","0.161872322536826"
"25","Starker","PercDead","Dist","0.17555741624592","0.153119523118246","0.153130361234192","0.164989231156721","0.150011058344299"
"26","Starker","PercDead","Dist_eFFP","0.177100971585616","0.152748483592256","0.154264874695678","0.16516046824979","0.14984754439873"
"27","Starker","PercDead","Dist_DD.5.sp","0.176079976614687","0.154287828251841","0.15349952802248","0.167715307617597","0.149428510723603"
"28","Starker","PercDead","Slope","0.175994620439792","0.153889639780671","0.152913162423359","0.164773505423684","0.150663815762395"
"29","Starker","PercDead","Slope_eFFP","0.177493576487749","0.153405460649963","0.153460945641245","0.164772341420115","0.150368495389403"
"30","Starker","PercDead","Slope_DD.5.sp","0.176073401217379","0.154014581520749","0.155779793230687","0.1642091081176","0.150010333215434"
"31","Starker","PercDead","Aspect","0.175298130588026","0.153260394519614","0.15351137849162","0.164837717520828","0.150123506135084"
"32","Starker","PercDead","Aspect_eFFP","0.176919341114451","0.153739155580377","0.153552812841119","0.164752778978654","0.149840896942557"
"33","Starker","PercDead","Aspect_DD.5.sp","0.176169831952243","0.154406444906119","0.154816518121713","0.165479017782966","0.149617303291362"
"34","Starker","PercDead","ElevDist","0.175276269117818","0.152311215918904","0.153085410746286","0.164497060440498","0.151127800369985"
"35","Starker","PercDead","ElevDist_eFFP","0.177605319119566","0.152260564089893","0.153555477515261","0.164569879628513","0.15077811174746"
"36","Starker","PercDead","eFFP","0.176678412418282","0.152289738339508","0.15361373048005","0.164768101513821","0.149876660204573"
"37","Starker","PercDead","eFFP_MSP","0.17914751609107","0.155263899011998","0.153510161588518","0.165840464569768","0.150127545878498"
"38","Starker","PercDead","eFFP_DD.5.sp","0.177952517105254","0.154247902083957","0.15454289983757","0.165569278761023","0.149361225191101"
"39","Starker","PercDead","MSP","0.17888153616122","0.155174781239569","0.153216192831835","0.16585105904871","0.150539145391243"
"40","Starker","PercDead","MSP_DD.5.sp","0.179254482675833","0.154930971377595","0.156139431895219","0.165642422649043","0.15013551174013"
"41","Starker","PercDead","DD.5.sp","0.176254174933771","0.154655996099479","0.153710651298509","0.165556971152312","0.149513060481859"
"42","Sprague","PercDead","Dist","0.179601723780251","0.212826375158394","0.220024343639654","0.175128842954418","0.205959476815708"
"43","Sprague","PercDead","Dist_Slope","0.179460155921851","0.21268994795259","0.219988918207634","0.174920162887157","0.206561536126539"
"44","Sprague","PercDead","Dist_Aspect","0.180229568102672","0.213054123113419","0.219965727112428","0.175822607663902","0.206206504909124"
"45","Sprague","PercDead","Dist_ElevDist","0.179636055520186","0.214247530178677","0.220401479288702","0.175281112203347","0.207064069206141"
"46","Sprague","PercDead","Dist_eFFP","0.181226213879973","0.212693012887145","0.219935494407688","0.175032054082036","0.206400282027401"
"47","Sprague","PercDead","Dist_MSP","0.179441436794628","0.212713253173942","0.220307467977731","0.175243834625754","0.205745486888713"
"48","Sprague","PercDead","Dist_DD.5.sp","0.179578267812561","0.212773166050819","0.220671860158585","0.175014609814943","0.20734175028199"
"49","Sprague","PercDead","Slope","0.180232405200755","0.213376220783591","0.219516890562041","0.174216619025969","0.207197358808345"
"50","Sprague","PercDead","Aspect","0.180462513207367","0.212986022418556","0.219417361988602","0.176232037577194","0.207220720116175"
"51","Sprague","PercDead","Aspect_MSP","0.180070833765931","0.212872709754984","0.220334210319988","0.177895104911317","0.208945889389695"
"52","Sprague","PercDead","ElevDist","0.180083264446021","0.214149515667036","0.219500231454441","0.174894705376982","0.207709111708125"
"53","Sprague","PercDead","eFFP","0.180880694165307","0.212954835271328","0.219475817768226","0.175069332093235","0.207561106091882"
"54","Sprague","PercDead","eFFP_MSP","0.180223537256895","0.212599195406365","0.219945485663643","0.175393045683152","0.210575954918339"
"55","Sprague","PercDead","MSP","0.180306864035715","0.213587881933843","0.220069672198172","0.174399934219263","0.206982969096683"
"56","Sprague","PercDead","DD.5.sp","0.180226403536784","0.213632863668035","0.220324995049136","0.174571247784884","0.208102307825704"
