"","Site","Overal_Indep","Dep","Spec_Indep","Estimate","STDError","Pr(>|z|)"
"1","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","CSCD","45.8603477007859","64243.0147612328","0.999430424297307"
"2","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","CSCO","362.743995944663","63870.9266290407","0.995468575559085"
"3","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","KLMT","59.8878683744623","39246.1151625056","0.998782463262589"
"4","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","PULO","-20.1445255421282","45887.6251998941","0.999649731156745"
"5","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","SRNA","138.885989110974","77820.789328008","0.998576024111887"
"6","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","WIVA","53.2774654180456","39246.1242347074","0.998916854724684"
"7","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","Dist","29.8924525156721","61.3661351543073","0.626175825597927"
"8","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","Slope","-286.783468233776","288.278443832805","0.319826674452639"
"9","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","Aspect","12.5660927099534","14.9044446359999","0.3991666866475"
"10","PuyallupValley","Ecoregion_Dist_Slope_Aspect_MSP","PercDead","MSP","-85.3175078286172","91.267613764786","0.349888315848949"
"11","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","CSCD","109.980333018642","40233.2517525777","0.997818930943948"
"12","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","CSCO","787.303747490745","35686.498300756","0.98239876197051"
"13","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","KLMT","166.590283880087","17518.8752798019","0.992412879811799"
"14","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","PULO","36.9897096952535","28775.9795724538","0.99897436992293"
"15","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","SRNA","366.920922279539","40141.6094514352","0.992706907714966"
"16","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","WIVA","100.817709736875","17518.577172643","0.995408277210817"
"17","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","Dist","39.0593374870462","41.0866704224298","0.341778441094299"
"18","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","Slope","-553.630372908666","468.466767255123","0.23728816232145"
"19","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","ElevDist","-21.995718278177","19.0926330453771","0.249299443432342"
"20","PuyallupValley","Ecoregion_Dist_Slope_ElevDist_MSP","PercDead","MSP","-162.234800319139","135.656072531325","0.231724931248498"
"21","PuyallupValley","Ecoregion_Dist_Slope_eFFP_MSP","PercDead","CSCD","55.8277498909202","42604.555628429","0.99895447596395"
"22","PuyallupValley","Ecoregion_Dist_Slope_eFFP_MSP","PercDead","CSCO","371.92647667033","38336.7606932585","0.99225939455797"
"23","PuyallupValley","Ecoregion_Dist_Slope_eFFP_MSP","PercDead","KLMT","60.7646264867923","23082.923099166","0.997899611712425"
"24","PuyallupValley","Ecoregion_Dist_Slope_eFFP_MSP","PercDead","PULO","10.8757261311905","29704.1498973042","0.999707866617839"
"25","PuyallupValley","Ecoregion_Dist_Slope_eFFP_MSP","PercDead","SRNA","127.691318060622","43252.8512348634","0.997644483997544"
"26","PuyallupValley","Ecoregion_Dist_Slope_eFFP_MSP","PercDead","WIVA","60.7178610421717","23083.1084382383","0.997901245053111"
"27","PuyallupValley","Ecoregion_Dist_Slope_eFFP_MSP","PercDead","Dist","49.7659476935815","192.69818371849","0.796207396989271"
"28","PuyallupValley","Ecoregion_Dist_Slope_eFFP_MSP","PercDead","Slope","-304.404645005527","330.74292214635","0.357381364454027"
"29","PuyallupValley","Ecoregion_Dist_Slope_eFFP_MSP","PercDead","eFFP","-18.8990801313336","47.4147080602812","0.690194528434569"
"30","PuyallupValley","Ecoregion_Dist_Slope_eFFP_MSP","PercDead","MSP","-87.3343070945559","108.820899965864","0.422234379265017"
"31","PuyallupValley","Ecoregion_Slope_Aspect_eFFP_MSP","PercDead","CSCD","49.7427563290072","128275.109705597","0.999690594875474"
"32","PuyallupValley","Ecoregion_Slope_Aspect_eFFP_MSP","PercDead","CSCO","704.391133944592","84657.4749795471","0.993361291180779"
"33","PuyallupValley","Ecoregion_Slope_Aspect_eFFP_MSP","PercDead","KLMT","86.1360845331152","20714.80878602","0.996682254968703"
"34","PuyallupValley","Ecoregion_Slope_Aspect_eFFP_MSP","PercDead","PULO","-143.665691925388","27547.3419904052","0.995838868304497"
"35","PuyallupValley","Ecoregion_Slope_Aspect_eFFP_MSP","PercDead","SRNA","307.797550717596","101606.024207571","0.997582952980699"
"36","PuyallupValley","Ecoregion_Slope_Aspect_eFFP_MSP","PercDead","WIVA","63.7014082196333","20714.7729304797","0.997546374745087"
"37","PuyallupValley","Ecoregion_Slope_Aspect_eFFP_MSP","PercDead","Slope","-532.588462364053","460.278079007768","0.247230887946022"
"38","PuyallupValley","Ecoregion_Slope_Aspect_eFFP_MSP","PercDead","Aspect","71.2490341952621","76.7702548801417","0.353365424321357"
"39","PuyallupValley","Ecoregion_Slope_Aspect_eFFP_MSP","PercDead","eFFP","71.780625904334","84.8537771378695","0.39759001898585"
"40","PuyallupValley","Ecoregion_Slope_Aspect_eFFP_MSP","PercDead","MSP","-175.234655892183","149.97065315267","0.242621408759418"
"41","PuyallupValley","Ecoregion_Slope_Aspect_MSP","PercDead","CSCD","13.4634567457994","88385.1060238556","0.99987846047016"
"42","PuyallupValley","Ecoregion_Slope_Aspect_MSP","PercDead","CSCO","301.142744242633","64677.9666125889","0.996285036610319"
"43","PuyallupValley","Ecoregion_Slope_Aspect_MSP","PercDead","KLMT","57.4754358649041","38559.8304131622","0.998810711939612"
"44","PuyallupValley","Ecoregion_Slope_Aspect_MSP","PercDead","PULO","-33.9875148246563","43682.358176617","0.999379197650161"
"45","PuyallupValley","Ecoregion_Slope_Aspect_MSP","PercDead","SRNA","134.097569030441","86350.7752710524","0.998760933684385"
"46","PuyallupValley","Ecoregion_Slope_Aspect_MSP","PercDead","WIVA","34.8786155293518","38559.7859323664","0.999278286837821"
"47","PuyallupValley","Ecoregion_Slope_Aspect_MSP","PercDead","Slope","-223.020685080597","322.4693302939","0.489186815795319"
"48","PuyallupValley","Ecoregion_Slope_Aspect_MSP","PercDead","Aspect","8.57245536979307","15.6239061298939","0.583228124687666"
"49","PuyallupValley","Ecoregion_Slope_Aspect_MSP","PercDead","MSP","-74.254877420737","91.0609682029434","0.41481973234319"
"50","PuyallupValley","Ecoregion_Slope_Aspect_MSP_DD.5.sp","PercDead","CSCD","60.232479716405","67993.0467272031","0.99929318420556"
"51","PuyallupValley","Ecoregion_Slope_Aspect_MSP_DD.5.sp","PercDead","CSCO","736.489920125378","48970.9602688434","0.988000811459913"
"52","PuyallupValley","Ecoregion_Slope_Aspect_MSP_DD.5.sp","PercDead","KLMT","107.720414337627","16380.1835095843","0.994752938150462"
"53","PuyallupValley","Ecoregion_Slope_Aspect_MSP_DD.5.sp","PercDead","PULO","-24.0601266986355","28655.2706091053","0.999330063860502"
"54","PuyallupValley","Ecoregion_Slope_Aspect_MSP_DD.5.sp","PercDead","SRNA","304.546974927863","64216.0410916305","0.996216016834435"
"55","PuyallupValley","Ecoregion_Slope_Aspect_MSP_DD.5.sp","PercDead","WIVA","58.7036064701325","16379.988313359","0.997140498509304"
"56","PuyallupValley","Ecoregion_Slope_Aspect_MSP_DD.5.sp","PercDead","Slope","-567.077909106386","542.677112975133","0.29603972543924"
"57","PuyallupValley","Ecoregion_Slope_Aspect_MSP_DD.5.sp","PercDead","Aspect","6.20799763500944","16.6464525205487","0.709198929383275"
"58","PuyallupValley","Ecoregion_Slope_Aspect_MSP_DD.5.sp","PercDead","MSP","-191.004703428087","177.84864800006","0.282834638330225"
"59","PuyallupValley","Ecoregion_Slope_Aspect_MSP_DD.5.sp","PercDead","DD.5.sp","-27.048034778208","39.6371557969382","0.49499180261094"
"60","PuyallupValley","Ecoregion_Slope_eFFP_MSP_DD.5.sp","PercDead","CSCD","79.603853489788","112985.926360116","0.999437853169227"
"61","PuyallupValley","Ecoregion_Slope_eFFP_MSP_DD.5.sp","PercDead","CSCO","889.72168660037","79779.2491682049","0.991101940799809"
"62","PuyallupValley","Ecoregion_Slope_eFFP_MSP_DD.5.sp","PercDead","KLMT","130.435839796723","11652.0912310142","0.991068507174763"
"63","PuyallupValley","Ecoregion_Slope_eFFP_MSP_DD.5.sp","PercDead","PULO","-0.754039280529194","59358.4982461338","0.999989864361163"
"64","PuyallupValley","Ecoregion_Slope_eFFP_MSP_DD.5.sp","PercDead","SRNA","365.398742040894","86224.4698729714","0.996618765617051"
"65","PuyallupValley","Ecoregion_Slope_eFFP_MSP_DD.5.sp","PercDead","WIVA","72.9121707313452","11651.8170949265","0.995007206585586"
"66","PuyallupValley","Ecoregion_Slope_eFFP_MSP_DD.5.sp","PercDead","Slope","-678.914036096489","537.888250533837","0.206882522811471"
"67","PuyallupValley","Ecoregion_Slope_eFFP_MSP_DD.5.sp","PercDead","eFFP","-3.35113098105886","7.44596287554298","0.652667087935853"
"68","PuyallupValley","Ecoregion_Slope_eFFP_MSP_DD.5.sp","PercDead","MSP","-224.192265511787","175.162464222491","0.200576637800641"
"69","PuyallupValley","Ecoregion_Slope_eFFP_MSP_DD.5.sp","PercDead","DD.5.sp","-38.226785180784","35.1568550236702","0.276894990811515"
"70","PuyallupValley","Ecoregion_Slope_MSP_DD.5.sp","PercDead","CSCD","107.189742552915","52891.255041765","0.998383003351913"
"71","PuyallupValley","Ecoregion_Slope_MSP_DD.5.sp","PercDead","CSCO","1063.40156528792","35673.5442451056","0.976219182362043"
"72","PuyallupValley","Ecoregion_Slope_MSP_DD.5.sp","PercDead","KLMT","158.102178360109","20963.3811477609","0.993982550314493"
"73","PuyallupValley","Ecoregion_Slope_MSP_DD.5.sp","PercDead","PULO","20.1930467588633","27768.7129912158","0.999419788780647"
"74","PuyallupValley","Ecoregion_Slope_MSP_DD.5.sp","PercDead","SRNA","436.008997858666","47350.4189885025","0.992653075958367"
"75","PuyallupValley","Ecoregion_Slope_MSP_DD.5.sp","PercDead","WIVA","91.1651754057076","20963.2205627378","0.9965301583101"
"76","PuyallupValley","Ecoregion_Slope_MSP_DD.5.sp","PercDead","Slope","-803.997868594236","550.373779202195","0.144064424499123"
"77","PuyallupValley","Ecoregion_Slope_MSP_DD.5.sp","PercDead","MSP","-260.47669781262","177.947666067307","0.143253357333197"
"78","PuyallupValley","Ecoregion_Slope_MSP_DD.5.sp","PercDead","DD.5.sp","-51.05946156849","38.003027140906","0.179089737393384"
"79","PuyallupValley","Dist","PercDead","Dist","-0.00116910270069988","0.00180045066932228","0.516119331758097"
"80","PuyallupValley","Dist_Slope","PercDead","Dist","0.275340741097549","0.999443698413273","0.782936735738967"
"81","PuyallupValley","Dist_Slope","PercDead","Slope","-1.31071820342572","1.62533914363557","0.419996388266231"
"82","PuyallupValley","Dist_Slope_ElevDist_MSP_DD.5.sp","PercDead","Dist","-2.05928386147847","3.16438183592223","0.515195153500421"
"83","PuyallupValley","Dist_Slope_ElevDist_MSP_DD.5.sp","PercDead","Slope","-35.4598510212843","36.6184358690015","0.332864302760012"
"84","PuyallupValley","Dist_Slope_ElevDist_MSP_DD.5.sp","PercDead","ElevDist","2.57164583070407","2.39816725537974","0.283568253574225"
"85","PuyallupValley","Dist_Slope_ElevDist_MSP_DD.5.sp","PercDead","MSP","-14.6474191215413","15.7630438466258","0.352772339344569"
"86","PuyallupValley","Dist_Slope_ElevDist_MSP_DD.5.sp","PercDead","DD.5.sp","-7.34991922392501","7.62707873940652","0.335215854139115"
"87","PuyallupValley","Dist_Slope_MSP","PercDead","Dist","1.69578442419273","1.35452938421213","0.210593098112332"
"88","PuyallupValley","Dist_Slope_MSP","PercDead","Slope","-9.70074958426112","6.7351435156402","0.149777403006665"
"89","PuyallupValley","Dist_Slope_MSP","PercDead","MSP","-4.01007245111074","3.25178728768329","0.21750478378395"
"90","PuyallupValley","Slope","PercDead","Slope","-0.00586845689500383","0.00711488439430739","0.409477146221387"
"91","PuyallupValley","Slope_Aspect","PercDead","Slope","-0.953385078065357","1.33810003295171","0.476160390576374"
"92","PuyallupValley","Slope_Aspect","PercDead","Aspect","-0.0712855319250049","0.684356526222368","0.917038948724511"
"93","PuyallupValley","Slope_Aspect_ElevDist_eFFP_MSP_DD.5.sp","PercDead","Slope","-58.4527130358729","44.5033542179161","0.189033005000863"
"94","PuyallupValley","Slope_Aspect_ElevDist_eFFP_MSP_DD.5.sp","PercDead","Aspect","-2.12693185801637","2.72960702031745","0.43585714848492"
"95","PuyallupValley","Slope_Aspect_ElevDist_eFFP_MSP_DD.5.sp","PercDead","ElevDist","4.23439871893683","2.50123936569063","0.0904706523244314"
"96","PuyallupValley","Slope_Aspect_ElevDist_eFFP_MSP_DD.5.sp","PercDead","eFFP","-5.833035708572","4.49240026870879","0.194142029497277"
"97","PuyallupValley","Slope_Aspect_ElevDist_eFFP_MSP_DD.5.sp","PercDead","MSP","-21.8770619671982","17.9078160557328","0.221840466471352"
"98","PuyallupValley","Slope_Aspect_ElevDist_eFFP_MSP_DD.5.sp","PercDead","DD.5.sp","-10.9657838639424","7.4964524453154","0.143523090639551"
"99","PuyallupValley","Slope_Aspect_ElevDist_MSP_DD.5.sp","PercDead","Slope","-25.7484247390951","18.3371610699347","0.16026931618808"
"100","PuyallupValley","Slope_Aspect_ElevDist_MSP_DD.5.sp","PercDead","Aspect","0.650215405133162","1.06128147509207","0.540094510607107"
"101","PuyallupValley","Slope_Aspect_ElevDist_MSP_DD.5.sp","PercDead","ElevDist","1.92219885682811","1.36612080355415","0.1594128710899"
"102","PuyallupValley","Slope_Aspect_ElevDist_MSP_DD.5.sp","PercDead","MSP","-9.42717021514646","7.83166610716387","0.228695988377236"
"103","PuyallupValley","Slope_Aspect_ElevDist_MSP_DD.5.sp","PercDead","DD.5.sp","-4.90683809928251","3.66524748135584","0.180653136208452"
"104","PuyallupValley","Slope_Aspect_MSP","PercDead","Slope","-5.85515697158057","4.85785319585324","0.228088580891284"
"105","PuyallupValley","Slope_Aspect_MSP","PercDead","Aspect","-0.76188466468465","0.885516268001781","0.389577006889151"
"106","PuyallupValley","Slope_Aspect_MSP","PercDead","MSP","-3.46507993805309","2.82779290959438","0.220437530903442"
"107","PuyallupValley","Slope_ElevDist","PercDead","Slope","-1.06991466761544","1.23514666198414","0.386366896981806"
"108","PuyallupValley","Slope_ElevDist","PercDead","ElevDist","0.189630553747943","0.531747110952316","0.721377853085667"
"109","PuyallupValley","Slope_ElevDist_eFFP_MSP_DD.5.sp","PercDead","Slope","-42.4864867728748","30.0498698863568","0.157401275539769"
"110","PuyallupValley","Slope_ElevDist_eFFP_MSP_DD.5.sp","PercDead","ElevDist","3.58119816623313","2.32473041443084","0.123443660627449"
"111","PuyallupValley","Slope_ElevDist_eFFP_MSP_DD.5.sp","PercDead","eFFP","-2.67688478656882","2.28893262521958","0.242206097126732"
"112","PuyallupValley","Slope_ElevDist_eFFP_MSP_DD.5.sp","PercDead","MSP","-14.7042573013444","11.3349487375378","0.194545332175208"
"113","PuyallupValley","Slope_ElevDist_eFFP_MSP_DD.5.sp","PercDead","DD.5.sp","-8.73681580334092","6.07254368025585","0.150224000568268"
"114","PuyallupValley","Slope_ElevDist_MSP","PercDead","Slope","-6.68396174678782","5.37586773655241","0.21374734206164"
"115","PuyallupValley","Slope_ElevDist_MSP","PercDead","ElevDist","0.573858271408043","0.548414320906195","0.295378474680308"
"116","PuyallupValley","Slope_ElevDist_MSP","PercDead","MSP","-3.10833416092559","2.50896971387136","0.215386728782832"
"117","PuyallupValley","Slope_ElevDist_MSP_DD.5.sp","PercDead","Slope","-22.3736965498464","17.6079821620383","0.203850886103147"
"118","PuyallupValley","Slope_ElevDist_MSP_DD.5.sp","PercDead","ElevDist","1.33909842282903","0.825242948046701","0.104659592401683"
"119","PuyallupValley","Slope_ElevDist_MSP_DD.5.sp","PercDead","MSP","-9.02817786305313","7.94996380214749","0.256113529760109"
"120","PuyallupValley","Slope_ElevDist_MSP_DD.5.sp","PercDead","DD.5.sp","-3.713538089462","2.82217527170078","0.188226920256982"
"121","PuyallupValley","Slope_eFFP","PercDead","Slope","-1.10034757798986","1.3298214942404","0.407987682199599"
"122","PuyallupValley","Slope_eFFP","PercDead","eFFP","-0.119686135569655","0.55614989576968","0.829607636857921"
"123","PuyallupValley","Slope_eFFP_MSP","PercDead","Slope","-6.53739356909779","5.10644370407718","0.200466244686106"
"124","PuyallupValley","Slope_eFFP_MSP","PercDead","eFFP","0.973315816597976","0.961761731904207","0.311531618475947"
"125","PuyallupValley","Slope_eFFP_MSP","PercDead","MSP","-3.71573461205596","2.8097459316254","0.186019994365172"
"126","PuyallupValley","Slope_MSP","PercDead","Slope","-4.6348700338765","3.94212289537024","0.239703001224254"
"127","PuyallupValley","Slope_MSP","PercDead","MSP","-2.50398844654167","2.30225197386959","0.276760374287377"
"128","PuyallupValley","Slope_MSP_DD.5.sp","PercDead","Slope","-10.013041948512","8.61705399736102","0.245234276865568"
"129","PuyallupValley","Slope_MSP_DD.5.sp","PercDead","MSP","-4.67611841309634","4.21328210478572","0.267062925739884"
"130","PuyallupValley","Slope_MSP_DD.5.sp","PercDead","DD.5.sp","-1.65488855976659","1.83636118900839","0.367493612029439"
"131","PuyallupValley","Slope_DD.5.sp","PercDead","Slope","-1.22230691011789","1.60226640593105","0.445546164139584"
"132","PuyallupValley","Slope_DD.5.sp","PercDead","DD.5.sp","-0.200501317220065","0.98667837425016","0.83897216064995"
"133","PuyallupValley","Aspect","PercDead","Aspect","-0.0662748607067917","0.0983160522930996","0.500247675788681"
"134","PuyallupValley","Aspect_eFFP","PercDead","Aspect","-1.62980521302915","1.84154908709972","0.376146594356591"
"135","PuyallupValley","Aspect_eFFP","PercDead","eFFP","-1.23520582447237","1.87629987728268","0.510332498574519"
"136","PuyallupValley","ElevDist","PercDead","ElevDist","0.000430205356873805","0.00185968261032973","0.817056362389023"
"137","PuyallupValley","eFFP","PercDead","eFFP","0.000175653811146306","0.000991624197976259","0.859400402932676"
"138","PuyallupValley","MSP","PercDead","MSP","0.00163026800865643","0.00627576496839982","0.795039651495452"
"139","PuyallupValley","DD.5.sp","PercDead","DD.5.sp","0.00076081813512064","0.00127065417391568","0.549332287922808"
"140","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","CSCD","1974.54469564603","5479416.30121429","0.9997124769124"
"141","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","CSCO","423.222106553978","1773.52472499058","0.81138991997612"
"142","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","KLMT","727.926572695074","1199587.17837598","0.999515832322505"
"143","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","PULO","2121.04108315159","2170.37633875604","0.328436094300314"
"144","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","SRNA","161.366056631885","29254.4526985889","0.995598932112604"
"145","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","WIVA","1863.07034853405","2071.98958574132","0.368562252701376"
"146","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","Dist","-45.3748544828812","153.298450082896","0.767237487893313"
"147","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","Slope","64.497254049385","70.3959649597075","0.359558497261355"
"148","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","ElevDist","302.235556686525","161.216139867992","0.0608308825999082"
"149","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","eFFP","-14.5602859023524","44.8598926407868","0.745504670145472"
"150","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_eFFP_DD.5.sp","PercDead","DD.5.sp","-790.202623499936","515.953283055987","0.125636212228821"
"151","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","CSCD","1916.9961187092","2048.35700193483","0.349340061808679"
"152","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","CSCO","378.142314735251","698.402317519946","0.588204970528304"
"153","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","KLMT","649.86361041686","2048.5071585863","0.751063278650008"
"154","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","PULO","1964.04636214654","692.845513278956","0.00458610321537499"
"155","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","SRNA","139.242399046822","931.788388969016","0.881209886731421"
"156","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","WIVA","1740.91578488296","652.929810885626","0.00766880675944885"
"157","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","Dist","-140.715090180747","325.03848097872","0.665074161538258"
"158","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","Slope","86.5813396589923","55.4778415897638","0.118607009111931"
"159","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","ElevDist","313.600274013678","152.965741286505","0.0403513519029661"
"160","PuyallupHill","Ecoregion_Dist_Slope_ElevDist_DD.5.sp","PercDead","DD.5.sp","-829.047302963609","612.477238895023","0.175865010708943"
"161","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","CSCD","4819.47089155492","933.012627935124","2.39805051117361e-07"
"162","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","CSCO","730.696019213385","1525.43211016656","0.631932081648385"
"163","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","KLMT","1244.7917831549","1031.38528072266","0.227465844895319"
"164","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","PULO","4173.56263787238","650.738474162786","1.42142365923505e-10"
"165","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","SRNA","169.412317509582","708.77344608747","0.811088664831019"
"166","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","WIVA","3602.56081392937","314.100900888567","1.87875406286613e-30"
"167","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","Dist","-375.606668708605","940.454326902192","0.689606946034314"
"168","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","Aspect","-913.357846061396","159.07968384544","9.38351437178873e-09"
"169","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","ElevDist","567.185358224869","84.5118428961605","1.92881987286589e-11"
"170","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","eFFP","-1303.95373908796","277.500205646038","2.61529460972434e-06"
"171","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_eFFP_DD.5.sp","PercDead","DD.5.sp","-2425.79374964423","268.770619836661","1.78849143657116e-19"
"172","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","CSCD","2840.45462573226","5479416.32146352","0.999586387553515"
"173","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","CSCO","553.125117642205","1636.2667561578","0.735332352198517"
"174","PuyallupHill","Ecoregion_Dist_Aspect_ElevDist_DD.5.sp","PercDead","KLMT","908.43772668253","3512638.97839588","0.999793651316589"
